species,herbarium,collectnum,flowerlength
lakelae,MEXU ..99,Ginzbarg 134,0.669
lakelae,MEXU ..99,Ginzbarg 134,0.648
lakelae,MEXU ..99,Ginzbarg 134,0.563
lakelae,MO Mexico ..43,Ginzbarg 134,0.579
lakelae,MO Mexico ..43,Ginzbarg 134,0.726
lakelae,MO Mexico ..43,Ginzbarg 134,0.521
lakelae,NY Mexico ..24,Ginzbarg 134,0.494
lakelae,NY Mexico ..24,Ginzbarg 134,0.583
lakelae,NY Mexico ..24,Ginzbarg 134,0.664
folkii,TEX ..66,McDonald 1470,0.675
folkii,TEX ..66,McDonald 1470,0.609
folkii,TEX ..66,McDonald 1470,0.692
folkii,TEX ..68,McDonald 1521,0.667
folkii,TEX ..68,McDonald 1521,0.741
folkii,TEX ..68,McDonald 1521,0.784
lakelae,TEX ..69,Hinton 18855,0.532
lakelae,TEX ..69,Hinton 18855,0.66
lakelae,TEX ..69,Hinton 18855,0.634
lakelae,TEX ..70,Ginzbarg 134,0.549
lakelae,TEX ..70,Ginzbarg 134,0.596
lakelae,TEX ..70,Ginzbarg 134,0.584
lakelae,XAL ..14,Villarreal 5473,0.536
lakelae,XAL ..14,Villarreal 5473,0.473
lakelae,XAL ..14,Villarreal 5473,0.551
folkii,MEXU ..71,Lyonnet 3641,0.991
folkii,MEXU ..72,Lyonnet 3993,1.571
folkii,MEXU ..72,Lyonnet 3993,1.659
folkii,MEXU ..72,Lyonnet 3993,1.447
folkii,MEXU ..73,Agosto 3641,0.793
folkii,MEXU ..73,Agosto 3641,0.835
folkii,MEXU ..73,Agosto 3641,0.785
folkii,MEXU ..74,Hinton 18855,0.709
folkii,MEXU ..74,Hinton 18855,0.663
folkii,MEXU ..74,Hinton 18855,0.782
folkii,MO Mexico ..38,Clark 6749,0.701
folkii,MO Mexico ..38,Clark 6749,0.681
folkii,MO Mexico ..38,Clark 6749,0.645
folkii,TEX ..56,Hinrickson 16116,0.828
folkii,TEX ..56,Hinrickson 16116,0.947
folkii,TEX ..56,Hinrickson 16116,0.904
folkii,TEX ..57,Hinton 20302,0.786
folkii,TEX ..57,Hinton 20302,0.944
folkii,TEX ..57,Hinton 20302,1.013
folkii,TEX ..58,Ginzbarg 161,0.719
folkii,TEX ..58,Ginzbarg 161,0.829
folkii,TEX ..58,Ginzbarg 161,0.771
folkii,TEX ..59,McDonald 1745,0.741
folkii,TEX ..59,McDonald 1745,0.674
folkii,WIS ..93,McDonald 1745,0.699
folkii,WIS ..93,McDonald 1745,0.759
folkii,WIS ..93,McDonald 1745,0.784
