species,herbarium,collectnum,pedicellength
mexicana,ARIZ ..05,Hinton et al. 24880,0.684
mexicana,ASU ..20,Medrano 17523,0.182
mexicana,ASU ..20,Medrano 17523,0.227
mexicana,ASU ..20,Medrano 17523,0.554
mexicana,ASU ..23,Reveal 3541,0.373
mexicana,ASU ..23,Reveal 3541,0.264
mexicana,ASU ..23,Reveal 3541,0.326
mexicana,MEXU ..65,Schaffner 71,0.407
mexicana,MEXU ..65,Schaffner 71,0.162
mexicana,MEXU ..65,Schaffner 71,0.203
mexicana,MEXU ..66,Pringle 10232,0.499
mexicana,MEXU ..66,Pringle 10232,0.506
mexicana,MEXU ..66,Pringle 10232,0.536
mexicana,MEXU ..09,Tenorio 9576,1.446
mexicana,MEXU ..09,Tenorio 9576,0.602
mexicana,MEXU ..09,Tenorio 9576,0.518
mexicana,MEXU ..10,Vega 1937,0.874
mexicana,MEXU ..10,Vega 1937,1.193
mexicana,MEXU ..10,Vega 1937,0.973
mexicana,MEXU ..12,Ventura 859,0.488
mexicana,MEXU ..12,Ventura 859,0.594
mexicana,MEXU ..12,Ventura 859,0.224
mexicana,MEXU ..14,Benitez 2630,0.734
mexicana,MEXU ..14,Benitez 2630,0.777
mexicana,MEXU ..14,Benitez 2630,0.78
mexicana,MEXU ..17,Gentry 2715,0.322
mexicana,MEXU ..17,Gentry 2715,0.887
mexicana,MEXU ..17,Gentry 2715,0.293
lakelae,MEXU ..99,Ginzbarg 134,0.444
lakelae,MEXU ..99,Ginzbarg 134,0.235
lakelae,MEXU ..99,Ginzbarg 134,0.247
lakelae,MO Mexico ..43,Ginzbarg 134,0.276
lakelae,MO Mexico ..43,Ginzbarg 134,0.325
lakelae,MO Mexico ..43,Ginzbarg 134,0.246
lakelae,NY Mexico ..24,Ginzbarg 134,0.344
lakelae,NY Mexico ..24,Ginzbarg 134,0.194
lakelae,NY Mexico ..24,Ginzbarg 134,0.166
folkii,TEX ..66,McDonald 1470,0.287
folkii,TEX ..66,McDonald 1470,0.285
folkii,TEX ..66,McDonald 1470,0.347
folkii,TEX ..68,McDonald 1521,0.498
folkii,TEX ..68,McDonald 1521,0.278
folkii,TEX ..68,McDonald 1521,0.459
lakelae,TEX ..69,Hinton 18855,0.409
lakelae,TEX ..69,Hinton 18855,0.283
lakelae,TEX ..69,Hinton 18855,0.152
lakelae,TEX ..70,Ginzbarg 134,0.217
lakelae,TEX ..70,Ginzbarg 134,0.184
lakelae,TEX ..70,Ginzbarg 134,0.334
lakelae,XAL ..14,Villarreal 5473,0.388
lakelae,XAL ..14,Villarreal 5473,0.36
lakelae,XAL ..14,Villarreal 5473,0.23
folkii,MEXU ..71,Lyonnet 3641,0.449
folkii,MEXU ..71,Lyonnet 3641,0.659
folkii,MEXU ..72,Lyonnet 3993,0.665
folkii,MEXU ..72,Lyonnet 3993,1.001
folkii,MEXU ..72,Lyonnet 3993,0.589
folkii,MEXU ..73,Agosto 3641,0.33
folkii,MEXU ..73,Agosto 3641,0.388
folkii,MEXU ..73,Agosto 3641,0.306
folkii,MEXU ..74,Hinton 18855,0.329
folkii,MEXU ..74,Hinton 18855,0.194
folkii,MEXU ..74,Hinton 18855,0.226
folkii,MO Mexico ..38,Clark 6749,0.363
folkii,MO Mexico ..38,Clark 6749,0.268
folkii,MO Mexico ..38,Clark 6749,0.223
folkii,TEX ..56,Hinrickson 16116,0.292
folkii,TEX ..56,Hinrickson 16116,0.521
folkii,TEX ..56,Hinrickson 16116,0.205
folkii,TEX ..57,Hinton 20302,0.393
folkii,TEX ..57,Hinton 20302,0.429
folkii,TEX ..57,Hinton 20302,0.177
folkii,TEX ..58,Ginzbarg 161,0.316
folkii,TEX ..58,Ginzbarg 161,0.299
folkii,TEX ..58,Ginzbarg 161,0.309
folkii,TEX ..59,McDonald 1745,0.232
folkii,TEX ..59,McDonald 1745,0.413
folkii,WIS ..93,McDonald 1745,0.227
folkii,WIS ..93,McDonald 1745,0.19
folkii,WIS ..93,McDonald 1745,0.173
