species,herbarium,collectnum,branchlength
folkii,TEX ..68,McDonald 1521,0.576
lakelae,TEX ..69,Hinton 18855,1.181
lakelae,TEX ..69,Hinton 18855,0.713
lakelae,TEX ..69,Hinton 18855,0.811
lakelae,TEX ..70,Ginzbarg 134,1.468
lakelae,TEX ..70,Ginzbarg 134,1.013
lakelae,TEX ..70,Ginzbarg 134,0.962
lakelae,XAL ..14,Villarreal 5473,0.905
lakelae,XAL ..14,Villarreal 5473,0.728
lakelae,XAL ..14,Villarreal 5473,0.442
folkii,MEXU ..72,Lyonnet 3993,2.927
folkii,MEXU ..72,Lyonnet 3993,2.835
folkii,MEXU ..72,Lyonnet 3993,3.826
folkii,MEXU ..73,Agosto 3641,0.894
folkii,MEXU ..73,Agosto 3641,0.759
folkii,MEXU ..73,Agosto 3641,0.768
folkii,MEXU ..74,Hinton 18855,0.843
folkii,MEXU ..74,Hinton 18855,0.645
folkii,MEXU ..74,Hinton 18855,0.161
folkii,MO Mexico ..38,Clark 6749,0.997
folkii,MO Mexico ..38,Clark 6749,0.524
folkii,MO Mexico ..38,Clark 6749,0.446
folkii,TEX ..56,Hinrickson 16116,1.209
folkii,TEX ..56,Hinrickson 16116,0.864
folkii,TEX ..56,Hinrickson 16116,0.416
folkii,TEX ..57,Hinton 20302,1.542
folkii,TEX ..57,Hinton 20302,1.103
folkii,TEX ..57,Hinton 20302,1.2
folkii,TEX ..58,Ginzbarg 161,1.722
folkii,TEX ..58,Ginzbarg 161,0.644
folkii,TEX ..58,Ginzbarg 161,1.09
folkii,TEX ..59,McDonald 1745,1.303
folkii,TEX ..59,McDonald 1745,0.862
folkii,TEX ..59,McDonald 1745,0.899
folkii,WIS ..93,McDonald 1745,0.928
folkii,WIS ..93,McDonald 1745,0.869
folkii,WIS ..93,McDonald 1745,0.712
